block_number,block_hash,parent_hash,timestamp,transaction_hash,from_address,to_address,actual_fee_amount,actual_fee_unit
776255,0x49f80541def186239941fee76292d3fa4b794d32af62cf71382c3c37d455ea9,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,1728129819,0x5dd73676320c70a4e59a8aa8b90088f528efa97f0e3ddc003e5a70898eafa6,0x79dd521cc08105684c9cdb37c33cebda8b563f8194fb0eaa54d807c92f129b8,Unknown,0x405eac1c77b01a,FRI
776255,0x49f80541def186239941fee76292d3fa4b794d32af62cf71382c3c37d455ea9,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,1728129819,0x7331177cc780ce99480b34feca71e23aa883d25b24564037518aed9ad7dc9be,0x58a498f0f07aae8284434c40d705ab521e772166c132f5cb149c9d6f9d55488,Unknown,0x415b8abdf61f1e,FRI
776255,0x49f80541def186239941fee76292d3fa4b794d32af62cf71382c3c37d455ea9,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,1728129819,0x5e1796dad2f3bc7404e984d2530551d2463d325d5ed05b36865971a14b92356,0x5774a1f38cf8ce6f4ee0e3be63cc6fb99d9be7746b31003dbc9b998ab98f389,Unknown,0x415b8abdf61f1e,FRI
776255,0x49f80541def186239941fee76292d3fa4b794d32af62cf71382c3c37d455ea9,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,1728129819,0x59bd01a563936191b02e672a8d870fcd61d2771c76281216205104936b880b1,0x7461e8a41459e52d5ca62e6faee68c8149d3d8e974ca120ed8cb752192b3f5a,Unknown,0x64ead973dc056e,FRI
776255,0x49f80541def186239941fee76292d3fa4b794d32af62cf71382c3c37d455ea9,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,1728129819,0x63412f7f2d9ec5f6bc33d42c165c965c5ca235f08d6d54ce58628a120d7e91,0x71ad7b064ff7825ab11760207b16a28b54decc5b02873af6b1a2527e07925f0,Unknown,0x11d3b902ab8,WEI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x7b5bde9047dd6a8529071cc6350c6bee56431debcd13e50ad9796266cb45286,0x158ac46c99d757c2f29d05826e5c22378e728d16d44ac0f6f47234fe5d36421,Unknown,0x40a19cd754c2da,FRI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x6c63cac2519424fb2ef284cdb13b806be967197ce883f265bea7e84cfe3099a,0x3cd25d2c02bb7f618b9dc5fac8c908d711337fbcc70be247ab5c864c4750b78,Unknown,0x40cc5dbe168078,FRI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x191e635ae54abb763abef5a46847c04f48c1334aaa18a39d951d4bfc38ab1e4,0x5bd8ab4d952836ca627116bad96ab584480c15e94f9802aea5872d1204c0660,Unknown,0xd8db6610646,WEI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x4828abd6a7d7b74fa8c35173c70b46567d36b6e6a3ec3be5e7f7a21653fed7e,0x344c86d9d9a189cf1b616c8d3bd550bdfd3f099f4076f7e680a14d4d8981124,Unknown,0x558d58cf610,WEI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x4068e58e3050fa85a919be63f5ab82572b28cc620f13458421e6cf906e0798e,0x24a5bc34daf1745ee6fa44257a27f72043df5d5dbb905a1f161bd49e5002e79,Unknown,0xb773b68510,WEI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x49158e4e58dbc2261fb70efaafbb784fb7e464d98aaee11f76845c4c28cc90d,0x4613ab46ec288dc8db39f8361a81fad572bbb78c19eceaeef8626cd3cca66d2,Unknown,0x746be50fb4,WEI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x44ee95ce132af9ca69590682a7f6e36308b9e98f5f77a8b63d92be6f5be6006,0x140fe16ba7560da9d118d72dd131a1eaac85111df9a8b649ccb253a9a2ce81f,Unknown,0xb3ec908c5c,WEI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x631c46a7e6d248e9fe95e6bdbaa9654431615021e3afdcdc393ba7a1529c256,0x6cffe11b90f64c67d2993573f5eac222219a7615548031f7eefccbb10c23a56,Unknown,0x942c3ad088,WEI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x2dfeb494e1a3943d51044e2a9e557a21291a170c25421b97c771cc4d5f17ae5,0x6cb8862f665501ac03eed2a741ca0185b40527be074629077ed1009effd7de9,Unknown,0xbe82027678,WEI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x5ad4a806cf62beb3cc5c45f28ef011ed5542a9891e352535f77cc13d30079cf,0xad881a32588cd3285a92190c89965fd4a2051e6c5b5228569ddb11cf4e21f0,Unknown,0xbe82027678,WEI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x7e070b8dc06b3b6eae8fc088fa992014ad900c6f5aea3671229d6eaff81a77c,0x8b44318e05bf18a302297844cfa8e28c5507e1ebe2009c763db4dec858c621,Unknown,0x7aea977069964,FRI
776254,0x51719da1afaf9720fe743cb372fcf084a8b9c9a573fe5cf3a7ec3a8ffaffef2,0x7032bbe1f2318021260d3e88b31a80cd563caa871595dfa9a330a2c2757171b,1728129789,0x1bea795d60e9c5c3010dd63b5ac1c0ac2af03390012597c524d686856d4f9c8,0x344c86d9d9a189cf1b616c8d3bd550bdfd3f099f4076f7e680a14d4d8981124,Unknown,0xacde449b340,WEI
