block_number,block_hash,parent_hash,timestamp,transaction_hash,from_address,to_address,actual_fee_amount,actual_fee_unit,fee_in_eth,tx_count,time_diff,avg_fee,std_fee,anomaly
776211,0xc0ea8337bfd2657a0bbd1e51adab79a212244dd1902bdb31edc758e152e4a4,0x73f6a295f3d0cfbf533f6bce5a8d6ced09918bb49caaec304c65bebb7867038,2024-10-05 11:39:29,0x30ec072a188e212c24b8e6e124e4bba93d652475af17c777472bc897dd2abfe,0x6707675cd7dd9256667eca8284e46f4546711ee0054bc2dd02f0ce572056cf4,Unknown,0xb05255c7343,WEI,1.2116729557827e-05,10,65.0,1.0380885233873301e-05,4.775624292937738e-06,False
776250,0x2b7cd867c760194a5b14ff81b6abae2e82d7439bcbf8e98533a04d8b50dfc1e,0x68e8d5a632db26626e3bb910b604a74687b3ecabedebb65b057444f35cd84b6,2024-10-05 12:01:08,0x2fc2e56cc6fef2acc927f64882a294675c3f7da212f71a8e89c584e49a53851,0x6707675cd7dd9256667eca8284e46f4546711ee0054bc2dd02f0ce572056cf4,Unknown,0x8bcb9e5e86f,WEI,9.606665726063e-06,10,1299.0,1.0380885233873301e-05,4.775624292937738e-06,False
776251,0x2b4efed3b621ae4ea8a3674a08c45e977b65614324d1ad00aa39aafe1a99c3d,0x2b7cd867c760194a5b14ff81b6abae2e82d7439bcbf8e98533a04d8b50dfc1e,2024-10-05 12:01:38,0x2cd105070afa660074ecaf022244e0b23376d61717d832fb37f98d68d2d4ad5,0x6707675cd7dd9256667eca8284e46f4546711ee0054bc2dd02f0ce572056cf4,Unknown,0x8d8ef1fff67,WEI,9.727817809767e-06,10,30.0,1.0380885233873301e-05,4.775624292937738e-06,False
776252,0x6cbbc1b36d401b85e02e72a547c1dd64df7312a129672bbd4f82396501209ad,0x2b4efed3b621ae4ea8a3674a08c45e977b65614324d1ad00aa39aafe1a99c3d,2024-10-05 12:02:08,0x7426ea12fa47fbb72db54e900102041a94b4a69702fc64b6250e4cf94674bbd,0x6707675cd7dd9256667eca8284e46f4546711ee0054bc2dd02f0ce572056cf4,Unknown,0x89a44967e42,WEI,9.458668699202e-06,10,30.0,1.0380885233873301e-05,4.775624292937738e-06,False
776252,0x6cbbc1b36d401b85e02e72a547c1dd64df7312a129672bbd4f82396501209ad,0x2b4efed3b621ae4ea8a3674a08c45e977b65614324d1ad00aa39aafe1a99c3d,2024-10-05 12:02:08,0x6f269df27784cc763782fe6cb2d913f2998803b428f3be4b3ba06847777f170,0x6707675cd7dd9256667eca8284e46f4546711ee0054bc2dd02f0ce572056cf4,Unknown,0x8d8ef1fff67,WEI,9.727817809767e-06,10,0.0,1.0380885233873301e-05,4.775624292937738e-06,False
776234,0x62d3cea2cc833a8b8d9a8d4aadb619643c089b0ea07394bb16f316129fa1d47,0x7a4ddf5a901e5651e8a3ab79770315071166be3312c6c477c146b5e731fffc4,2024-10-05 11:52:43,0x7c1df0a3375b6ece4341daa18199cb2307c1d5bf85017cd3a6c2d49d473162e,0x6773b6566b3bdf31f43c782938bccc64f8f2fe7fad559c715313d17d24d9255,Unknown,0x469ab8968f,WEI,3.03243499151e-07,1,0.0,3.03243499151e-07,,False
776210,0x73f6a295f3d0cfbf533f6bce5a8d6ced09918bb49caaec304c65bebb7867038,0x6c40eb928ac8bf55fc1a2cc2ef94cc02697322a7ae5ebaa050ca7cdd8113afe,2024-10-05 11:38:56,0x811fc838d83f5356393f92ce4b0d49375b111f9cbb643735af425f68763457,0x6779538dbf82a89b7f875a66bd0d8727048217e7cf250905cbfd25343a01432,Unknown,0x376d3d744c4d46,FRI,15601234.430676294,1,0.0,15601234.430676294,,False
776259,0x3e0cb02b4c19ddf98b3b639adc2d981f403b0e58d37ee8bc79373025910bd2c,0x5f93b232854f1682c6811033df1c410a8034c38e86547aac48e47f0d3471fd,2024-10-05 12:05:49,0x1bfa5bfea2f29238018c103e9c18e8899089f6fcd2ea95c653a353ff8e0cc0b,0x679816dc458a3a733baedf9b39b29ae86a16e178c7bfa6c226abc515778de6b,Unknown,0xfda54829b7,WEI,1.089399695799e-06,1,0.0,1.089399695799e-06,,False
776202,0x38cfc7df2501b7696b4df91eed425aa10ee179b05241cdebec4b0a1c252554f,0x3a661e8ce1b9117b2df107e7f492341d3922d169bfe6b652708b9a32dbdab82,2024-10-05 11:34:35,0x4d506a7e002605139fbc0f7f2a0bb562f827e9eb88276a546a2b33666b262f3,0x679cb63d3a667e17681464980ea4a033b920f81af4f5fbcf87072daa230dc72,Unknown,0x7c0a2e00f509a,FRI,2182130.613309594,3,0.0,1958560.4518173959,207753.8839332263,False
776221,0x717080baff71578193a80b6b2c6b91499a1b9a57ce60e05ed4f3f03b79402c5,0x6f67f29edbe6e3cbe449fedfadb50a65761d63f7f08a53c8aba1351df388217,2024-10-05 11:44:57,0x2fa6b963fb16193a36aa51a262e25779d4484c5ef59899ffd6731f665b57778,0x679cb63d3a667e17681464980ea4a033b920f81af4f5fbcf87072daa230dc72,Unknown,0x6d4240880ffa6,FRI,1922101.086846886,3,622.0,1958560.4518173959,207753.8839332263,False
